id,fonds,Numero_inventaire,Classement_thematique,Type_document,ISSN,ISBN,Auteur1,Fonction1,Auteur2,Fonction2,Auteur3,Fonction3,Auteur4,Fonction4,Auteur5,Fonction5,Auteur6,Fonction6,Titre,Titre_moderne,Sous_titre,Lieu_edition1,Lieu_edition2,Editeur1,Editeur2,Adresse_editeur1,Adresse_editeur2,Collection,Annee_edition,Numero_edition,Tome,Numero_de_volume,Nb_volumes,Nb_Pages,Format,Privileges_royaux_et_date_approbation,Ex_libris,Lien_hypertexte,Illustrations,Notes,Provenance,Disponible,Emprunteur,Date_emprunt,Financement
,ancien,11,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 3,,7,440,in-8,,,https://books.google.fr/books?id=g-c4AQAAMAAJ&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,Bibliothèque Villequez,OUI,,,
,ancien,12,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 4,,7,329,in-8,,,https://books.google.fr/books?id=xuc4AQAAMAAJ&pg=PA445&dq=Montesquieu+oeuvres+tome+4+1769&hl=fr&sa=X&ved=0ahUKEwjmgujXy8bSAhUIKcAKHZNRCeQQ6AEILjAE#v=onepage&q=Montesquieu%20oeuvres%20tome%204%201769&f=false,,,Bibliothèque Villequez,OUI,,,
,ancien,13,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,Tome 5 contenant Les Lettres persanes,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 5,,7,508,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,14,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,"Tome 6 contenant Les considérations sur les causes de la grandeur des Romains, et de leur décadence",Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 6,,7,298,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,15,AI8,OUVRAGE,,,MONTESQUIEU Charles-Louis (de),Auteur,,,,,,,,,,,Œuvres de Monsieur de Montesquieu. De l'esprit des loix,,Tome 7 contenant Le temple de Gnide et les Lettres familières,Londres,,chez Nourse,,,,,1769,nouvelle édition,Tome 7,,7,291,in-8,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,16,AI9,OUVRAGE,,,MAILHER DE CHASSAT Antoine,Auteur,,,,,,,,,,,Traité de l'interprétation des lois,,,Paris,,"chez Nève, libraire ; chez Videcoq",,,,,1822,,,,1,313,in-8,,,https://books.google.be/books?id=miFEAAAAcAAJ&hl=fr&pg=PP7#v=onepage&q&f=false,oui,,Bibliothèque Villequez,OUI,,,
,ancien,17,AI10,OUVRAGE,,,MEDICIS Sébastien,Auteur,,,,,,,,,,,"De le gibus, statuts et consuetudine tractatus…",,,Coloniae (Cologne),,apud Geruinum Calenium & haeredes Quentelios,,,,,1574,,,,1,préf.-884-index,in-12,,,,,,Bibliothèque Villequez,OUI,,,
,ancien,18,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,"De la publication, des effets et de l'application des lois en général",Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1860,2e édition,,1,31,619,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,19,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité de l'absence,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1860,2e édition,,2,31,523,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,20,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité du mariage et de la séparation de corps,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1860,2e édition,Tome 1,3,31,619,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,21,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité du mariage et de la séparation de corps,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,Tome 2,4,31,664,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,22,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité de la paternité et de la filiation,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1860,2e édition,,5,31,671,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,23,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité de l'adoption et de la tutelle officieuse,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,,6,31,549,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,24,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,"Traité de la minorité, de la tutelle et de l'émancipation",Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,Tome 1,7,31,633,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,25,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,"Traité de la minorité, de la tutelle et de l'émancipation",Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,Tome 2,8,31,608,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,26,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité de la distinction des biens,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,Tome 1,9,31,686,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,27,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité de la distinction des biens,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1861,2e édition,Tome 2,10,31,772,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,28,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des servitudes ou services fonciers,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1863,3e édition,Tome 1,11,31,622,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,29,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des servitudes ou services fonciers,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1863,3e édition,Tome 2,12,31,630,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,30,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des successions,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1862,2e édition,Tome 1,13,31,696,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,31,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des successions,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1862,2e édition,Tome 2,14,31,680,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,32,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des successions,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1862,2e édition,Tome 3,15,31,694,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,33,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des successions,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1862,2e édition,Tome 4,16,31,678,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,34,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des successions,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1862,2e édition,Tome 5,17,31,650,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,35,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1863,2e édition,Tome 1,18,31,746,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,36,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1864,2e édition,Tome 2,19,31,666,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,37,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1864,2e édition,Tome 3,20,31,754,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,38,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1864,,Tome 4,21,31,669,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,39,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1865,,Tome 5,22,31,669,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,40,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des donations entre-vifs et des testaments,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1866,,Tome 6,23,31,751,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,41,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1868,,Tome 1,24,31,659,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,42,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1869,,Tome 2,25,31,661,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,43,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1870,,Tome 3,26,31,620,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,44,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Auguste Durand, libraire ; L. Hachette et Cie, libraires",,,,,1872,,Tome 4,27,31,620,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,45,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Durand et Pedone Lauriel, libraires ; Hachette et Cie, libraires",,,,,s.d.,,Tome 5,28,31,626,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,46,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Durand et Pedone Lauriel, libraires ; Hachette et Cie, libraires",,,,,1876,,Tome 6,29,31,694,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,47,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des contrats ou des obligations conventionnelles en général,Paris,,"Durand et Pedone Lauriel, libraires ; Hachette et Cie, libraires",,,,,1878,,Tome 7,30,31,614,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,48,AI11,OUVRAGE,,,DEMOLOMBE Charles,Auteur,,,,,,,,,,,Code Napoléon,,Traité des engagements qui se forment sans convention,Paris,,"Durand et Pedone Lauriel, libraires ; Hachette et Cie, libraires",,,,,1882,,,31,31,616,in-8,,,,,,Bibliothèque Renardet,OUI,,,
,ancien,49,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 1,,8,,in-4,,,https://books.google.fr/books?id=kNmkPaEuoSYC&printsec=frontcover&dq=GARNIER-PAGES+Histoire+de+la+r%C3%A9volution+de+1848&hl=fr&sa=X&ved=0ahUKEwjB4PC3zcbSAhWJAcAKHXI_Bj0Q6AEIHDAA#v=onepage&q=GARNIER-PAGES%20Histoire%20de%20la%20r%C3%A9volution%20de%201848&f=false,,,,MANQUANT,,,
,ancien,50,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 2,,8,396,in-4,,,https://books.google.fr/books?id=bEuTlHIEvlYC&printsec=frontcover&dq=GARNIER-PAGES+Histoire+de+la+r%C3%A9volution+de+1848&hl=fr&sa=X&ved=0ahUKEwjB4PC3zcbSAhWJAcAKHXI_Bj0Q6AEIRTAH#v=onepage&q=GARNIER-PAGES%20Histoire%20de%20la%20r%C3%A9volution%20de%201848&f=false,,,,OUI,,,
,ancien,51,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 3,,8,411,in-4,,,https://books.google.fr/books?id=z388_B0MMbAC&printsec=frontcover&dq=GARNIER-PAGES+Histoire+de+la+r%C3%A9volution+de+1848&hl=fr&sa=X&ved=0ahUKEwjB4PC3zcbSAhWJAcAKHXI_Bj0Q6AEIIjAB#v=onepage&q=GARNIER-PAGES%20Histoire%20de%20la%20r%C3%A9volution%20de%201848&f=false,,,,OUI,,,
,ancien,52,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 4,,8,396,in-4,,,https://books.google.fr/books?id=RpgJAQAAIAAJ&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,,OUI,,,
,ancien,53,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 5,,8,396,in-4,,,https://books.google.fr/books?id=hJgJAQAAIAAJ&printsec=frontcover&dq=Histoire+de+la+r%C3%A9volution+de+1848+volume+5&hl=fr&sa=X&ved=0ahUKEwj-hO2K0MbSAhXDIsAKHXnXCycQ6AEIHDAA#v=onepage&q=Histoire%20de%20la%20r%C3%A9volution%20de%201848%20volume%205&f=false,,,,OUI,,,
,ancien,54,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 6,,8,500,in-4,,,https://books.google.fr/books?id=kJQJAQAAIAAJ&printsec=frontcover&dq=Histoire+de+la+r%C3%A9volution+de+1848+volume+6&hl=fr&sa=X&ved=0ahUKEwji4MGW0MbSAhWELsAKHR6_DFEQ6AEIGjAA#v=onepage&q=Histoire%20de%20la%20r%C3%A9volution%20de%201848%20volume%206&f=false,,,,OUI,,,
,ancien,55,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 7,,8,400,in-4,,,https://books.google.fr/books?id=a88WAAAAQAAJ&printsec=frontcover&dq=Histoire+de+la+r%C3%A9volution+de+1848+volume+7+1866&hl=fr&sa=X&ved=0ahUKEwjQ06ep0MbSAhWJJMAKHR5dA3IQ6AEIGjAA#v=onepage&q&f=false,,,,OUI,,,
,ancien,56,AI12,OUVRAGE,,,GARNIER-PAGÈS Louis-Antoine,Auteur,,,,,,,,,,,Histoire de la révolution de 1848,,,Paris,,"Pagnerre, libraire-éditeur",,"rue de Seine, 18",,,1866,2e édition,Tome 8,,8,408,in-4,,,https://books.google.fr/books?id=as8WAAAAQAAJ&printsec=frontcover&dq=Histoire+de+la+r%C3%A9volution+de+1848+volume+8+1866&hl=fr&sa=X&ved=0ahUKEwin46q10MbSAhWFJMAKHXVuDVcQ6AEIHzAB#v=onepage&q&f=false,,,,OUI,,,
,ancien,57,AI13,OUVRAGE,,,GROTIUS Hugo,Auteur,,,,,,,,,,,Le droit de la guerre et de la paix… divisé en trois livres…,,,Paris,,chez Arnould Seneuze,,"rue de la Harpe, à la Sphère",,,1687,,,,1,préf.-621-304-table-197,in-4,,,https://books.google.fr/books?id=uEv9Rk51sl4C&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,oui,2 tomes en 1 vol.,,OUI,,,
,ancien,58,AI14,OUVRAGE,,,GROTIUS Hugo,Auteur,,,,,,,,,,,De jure belli ac pacis…,,,Amstelodami (Amsterdam),,Ex Officina Wetsteniana,,,,,1720,,,,1,préf.-936-43-index,in-4,oui,,,oui,,Bibliothèque Villequez,OUI,,,
,ancien,59,AI15,OUVRAGE,,,PUFENDORF Samuel (von),Auteur,BARBEYRAC Jean,Traducteur,,,,,,,,,Le droit de la nature et des gens…,,,Amsterdam,,P. de Coup,,,,,1734,,Tome 1,,2,XX-[124]-716-613-table-52,in-4,,,http://reader.digitale-sammlungen.de/resolve/display/bsb10007991.html,,,,MANQUANT,,,
,ancien,60,AI15,OUVRAGE,,,PUFENDORF Samuel (von),Auteur,BARBEYRAC Jean,Traducteur,,,,,,,,,Le droit de la nature et des gens…,,,Amsterdam,,P. de Coup,,,,,1734,,Tome 2,,2,XX-[124]-716-613-table-52,in-4,,,http://reader.digitale-sammlungen.de/resolve/display/bsb10007991.html,,,,MANQUANT,,,
,ancien,61,AII16,OUVRAGE,,,PUFENDORF Samuel (von),Auteur,BARBEYRAC Jean,Traducteur,,,,,,,,,"Le droit de la nature et des gens ou système général des principes les plus importants de la morale, de la jurisprudence et de la politique",,,Basle (Bâle),,Emanuel Thourneisen,,,,,1771,nouvelle édition,Tome 1,,2,CIV-680-614-table-52,in-4,,,,oui,,Bibliothèque Villequez,OUI,,,
,ancien,62,AII16,OUVRAGE,,,PUFENDORF Samuel (von),Auteur,BARBEYRAC Jean,Traducteur,,,,,,,,,"Le droit de la nature et des gens ou système général des principes les plus importants de la morale, de la jurisprudence et de la politique",,,Basle (Bâle),,Emanuel Thourneisen,,,,,1771,,Tome 2,,2,,in-4,,,http://reader.digitale-sammlungen.de/resolve/display/bsb10007991.html,oui,,,MANQUANT,,,
,ancien,63,AI17,OUVRAGE,,,BURLAMAQUI Jean-Jacques,Auteur,,,,,,,,,,,Principes du droit naturel,,,Genève,,Cl. et A. Philibert,,,,,1762,nouvelle édition,,,1,table-XV-216-XXXVI,in-4,,,https://books.google.fr/books?id=9pdCAAAAcAAJ&hl=fr&pg=PP6#v=onepage&q&f=false,,,,MANQUANT,,,
,ancien,64,AI18,OUVRAGE,,,VICAT Béat Philippe,Auteur,,,,,,,,,,,Traité du droit naturel et de l'application de ses principes au droit civil et au droit des gens,,,Lausanne,Yverdon,Société typographique,Société littéraire et typographique,,,,1777,,Tome 1,,2,,in-8,,,https://books.google.be/books?id=ARs1AAAAQAAJ&printsec=frontcover&dq=VICAT+Trait%C3%A9+du+droit+naturel+1777&hl=fr&sa=X&ved=0ahUKEwjL0pCq1MbSAhWFAsAKHSEdBRQQ6AEIKjAD#v=onepage&q=VICAT%20Trait%C3%A9%20du%20droit%20naturel%201777&f=false,,2 tomes en 1 vol. : tomes 1 et 2,Bibliothèque Villequez,OUI,,,
,ancien,65,AI18,OUVRAGE,,,VICAT Béat Philippe,Auteur,,,,,,,,,,,Traité du droit naturel et de l'application de ses principes au droit civil et au droit des gens,,,Lausanne,Yverdon,Société typographique,Société littéraire et typographique,,,,1777,,Tome 2,,2,,in-8,,,https://books.google.be/books?id=JIE7gfaPv7oC&printsec=frontcover&dq=VICAT+Trait%C3%A9+du+droit+naturel+1777+tome+2&hl=fr&sa=X&ved=0ahUKEwiJg8bQ1MbSAhXsDsAKHf0pCVYQ6AEIIzAC#v=onepage&q=VICAT%20Trait%C3%A9%20du%20droit%20naturel%201777%20tome%202&f=false,,2 tomes en 1 vol. : tomes 3 et 4,Bibliothèque Villequez,OUI,,,
,ancien,66,AI35,OUVRAGE,,,VULSON Marc (de),Auteur,,,,,,,,,,,Traité des élections d'héritier contractuelles et testamentaires,,,Toulouse,,"chez Jean-François Forest et Gaspard Henault, libraires",,,,,1753,nouvelle édition,,,1,,in-4,"oui, 14 avril 1749",,,,,,OUI,,,
,ancien,67,AI19,OUVRAGE,,,GUNDLING Nicolas,Auteur,,,,,,,,,,,Jus naturae ac gentium connexa ratione nova que methodo… ,,,Genevae (Genève),,sumptibus Antonii Philibert,,,,,1751,nouvelle édition,,,1,[XXX]-524,in-8,,,https://books.google.es/books?id=bsIGAAAAcAAJ&hl=zh-CN&pg=PP5#v=onepage&q&f=false,,,Bibliothèque Villequez,OUI,,,
