id,fonds,Numero_inventaire,Type_document,ISSN,ISBN,Auteur1,Fonction1,Auteur2,Fonction2,Auteur3,Fonction3,Auteur4,Fonction4,Auteur5,Fonction5,Auteur6,Fonction6,Titre,Sous_titre,Lieu_edition,Editeur,Collection,Annee_edition,Tome,Nb_Pages,Notes,Disponible,Emprunteur,Date_emprunt,financement
,moderne,3012,REVUE,,,RUBEN de COUDER M.,Auteur,,,,,,,,,,,Journal du Palais,"Répertoire général contenant la jurisprudence de 1791 à 1857, l'histoire du droit, la législation et la doctrine des auteurs / par une société de jurisconsultes et de magistrats : Table complémentaire contenant la jurisprudence de 1857 à 1870",Paris,Au Bureau de l'Administration,,1872,1,872,Tome 1 : A.-E.,OUI,,,
,moderne,3013,REVUE,,,RUBEN de COUDER M.,Auteur,,,,,,,,,,,Journal du Palais,"Répertoire général contenant la jurisprudence de 1791 à 1857, l'histoire du droit, la législation et la doctrine des auteurs / par une société de jurisconsultes et de magistrats : Table complémentaire contenant la jurisprudence de 1857 à 1870",Paris,Au Bureau de l'Administration,,1873,2,1025,Tome 2 : F.-V.,OUI,,,
,moderne,3014,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1845,1,520,Tome 1 : A.-AS. ; autre exemplaire,MANQUANT,,,
,moderne,3015,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1845,2,850,Tome 2 : AS.-CAR. ; autre exemplaire,OUI,,,
,moderne,3016,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1845,3,956,Tome 3 : CAS.-COM. ; autre exemplaire,OUI,,,
,moderne,3017,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,4,1052,Tome 4 : COM.-CUV. ; autre exemplaire,OUI,,,
,moderne,3018,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,5,934,Tome 5 : D. ; autre exemplaire,OUI,,,
,moderne,3019,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1846,6,960,Tome 6 : E.-EV. ; autre exemplaire,OUI,,,
,moderne,3020,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1847,7,1045,Tome 7 : EX.-F. ; autre exemplaire,OUI,,,
,moderne,3021,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1848,8,954,Tome 8 : G.-J. ; autre exemplaire,OUI,,,
,moderne,3022,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,9,949,Tome 9 : K.-O. ; autre exemplaire,OUI,,,
,moderne,3023,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,10,926,Tome 10 : P.-Q. ; autre exemplaire,OUI,,,
,moderne,3024,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,11,1094,Tome 11 : R.-S. ; autre exemplaire,OUI,,,
,moderne,3025,REVUE,,,D'AUVILLIERS M.,Auteur,PATRIS F.-F.,Auteur,LEVESQUE Jean-Antoine,Auteur,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Au bureau du Journal du Palais,,1850,12,1022,Tome 12 : T.-Z. ; autre exemplaire,OUI,,,
,moderne,3026,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,PATRIS F.-F.,Auteur,,,,,,,,,Journal du Palais,Répertoire général contenant la jurisprudence de 1791 à 1845…,Paris,Plon Frères éditeurs,,1854,13,751,Tome 13 : table chronologique,OUI,,,
,moderne,3027,REVUE,,,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.,Auteur,HOUSSET F.,Auteur,HAREL Ad.,Auteur,CARRE Aug.,Auteur,Journal du Palais,"Répertoire général contenant la jurisprudence de 1791 à 1857, l'histoire du droit, la législation et la doctrine des auteurs / par une société de jurisconsultes et de magistrats",Paris,Au Bureau de l'Administration,,1857,1,1278,Supplément A-E,OUI,,,
,moderne,3028,REVUE,,,GELLE Th.,Auteur,NOBLET F.,Auteur,BOULANGER A.,Auteur,HOUSSET F.,Auteur,HAREL Ad.,Auteur,CARRE Aug.,Auteur,Journal du Palais,"Répertoire général contenant la jurisprudence de 1791 à 1857, l'histoire du droit, la législation et la doctrine des auteurs / par une société de jurisconsultes et de magistrats",Paris,Au Bureau de l'Administration,,1857,2,1219,Supplément F-Y,OUI,,,
,moderne,3029,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,1,756,Tome 1 : 1791-1792,OUI,,,
,moderne,3030,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,2,756,Tome 2 : An IX - An X,OUI,,,
,moderne,3031,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,3,780,Tome 3 : An XI - An XII,OUI,,,
,moderne,3032,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,4,796,Tome 4 : An XII - An XIII,OUI,,,
,moderne,3033,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,5,795,Tome 5 : An XIV - Mars 1807,OUI,,,
,moderne,3034,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,6,802,Tome 6 : 1807 - 1808,OUI,,,
,moderne,3035,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,7,987,Tome 7 : 1808 - 1809,OUI,,,
,moderne,3036,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,8,763,Tome 8 : 1810,OUI,,,
,moderne,3037,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,9,859,Tome 9 : 1811,OUI,,,
,moderne,3038,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1832,10,1002,Tome 10 : 1812,OUI,,,
,moderne,3039,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1841,11,907,Tome 11 : 1812,OUI,,,
,moderne,3040,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,12,825,Tome 12 : 1814 - 1815,OUI,,,
,moderne,3041,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,13,800,Tome 13 : 1815 - 1816,OUI,,,
,moderne,3042,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,14,1198,Tome 14 : 1817 - 1818,OUI,,,
,moderne,3043,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,15,1127,Tome 15 : 1819 - 1820,OUI,,,
,moderne,3044,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,16,1095,Tome 16 : 1820 - 2821,OUI,,,
,moderne,3045,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,17,1263,Tome 17 : 1822 - 1823,OUI,,,
,moderne,3046,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,18,1339,Tome 18 : 1823 - 1824,OUI,,,
,moderne,3047,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,19,1147,Tome 19 : 1825,OUI,,,
,moderne,3048,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,20,1107,Tome 20 : 1826,OUI,,,
,moderne,3049,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1841,21,1656,Tome 21 : 1827 - 1828,OUI,,,
,moderne,3050,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1841,22,1728,Tome 22 : 1828 - 1829,OUI,,,
,moderne,3051,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1841,23,1818,Tome 23 : 1830 - 1831,OUI,,,
,moderne,3052,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1841,24,1768,Tome 24 : 1831 - 1832,OUI,,,
,moderne,3053,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,25,1163,Tome 25 : 1833,OUI,,,
,moderne,3054,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,26,1627,Tome 26 : 1834 - 1835,OUI,,,
,moderne,3055,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,,,,,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Patris,,1842,27,1770,Tome 27 : 1835 - 1836,OUI,,,
,moderne,3056,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1836,,s.p.,Année 1836,OUI,,,
,moderne,3057,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1837,,s.p.,Année 1837,OUI,,,
,moderne,3058,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1838,,s.p.,Année 1838,OUI,,,
,moderne,3059,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1839,,s.p.,Année 1839,OUI,,,
,moderne,3060,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1840,,s.p.,Année 1840,OUI,,,
,moderne,3061,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1841,,s.p.,Année 1841,OUI,,,
,moderne,3062,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1842,,s.p.,Année 1842,OUI,,,
,moderne,3063,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1843,,s.p.,Année 1843,OUI,,,
,moderne,3064,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1844,,s.p.,Année 1844,OUI,,,
,moderne,3064,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,SULPICY,Auteur,ROGER F.,Auteur,LEVESQUE J.-A.,Auteur,NOBLET F.,Auteur,BOULANGER A.-M.,Auteur,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1844,,s.p.,Année 1844,OUI,,,
,moderne,3065,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1845,1,856,Année 1845 (tome 1),OUI,,,
,moderne,3066,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1845,2,865,Année 1845 (tome 2),OUI,,,
,moderne,3067,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1846,1,835,Année 1846 (tome 1),OUI,,,
,moderne,3068,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1846,2,839,Année 1846 (tome 2),OUI,,,
,moderne,3069,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Patris,,1847,1,835,Année 1847 (tome 1),OUI,,,
,moderne,3070,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1847,2,835,Année 1847 (tome 2),OUI,,,
,moderne,3071,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1848,1,795,Année 1848 (tome 1),OUI,,,
,moderne,3072,REVUE,,,LEDRU-ROLLIN Alexandre,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1848,2,776,Année 1848 (tome 2),OUI,,,
,moderne,3073,REVUE,,,Société de jurisconsultes et de magistrats,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1849,1,728,Année 1849 (tome 1),OUI,,,
,moderne,3074,REVUE,,,Société de jurisconsultes et de magistrats,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1849,2,736,Année 1849 (tome 2),OUI,,,
,moderne,3075,REVUE,,,Société de jurisconsultes et de magistrats,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1850,1,804,Année 1850 (tome 1),OUI,,,
,moderne,3076,REVUE,,,Société de jurisconsultes et de magistrats,Auteur,LEVESQUE J.-A.,Auteur,,,,,,,,,Journal du Palais,Recueil le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1850,2,772,Année 1850 (tome 2),OUI,,,
,moderne,3077,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1851,1,732,Année 1851 (tome 1),OUI,,,
,moderne,3078,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1851,2,736,Année 1851 (tome 2),OUI,,,
,moderne,3079,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1852,1,736,Année 1852 (tome 1),OUI,,,
,moderne,3080,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1852,2,775,Année 1852 (tome 2),OUI,,,
,moderne,3081,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1853,1,768,Année 1853 (tome 1),OUI,,,
,moderne,3082,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1853,2,740,Année 1853 (tome 2),OUI,,,
,moderne,3083,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1854,1,655,Année 1854 (tome 1),OUI,,,
,moderne,3084,REVUE,,,CUENOT Stéphane,Auteur,GELLE Th.,Auteur,FABRE A.,Auteur,,,,,,,Journal du Palais,Recueil le plus ancien et le plus complet de la jurisprudence française,Paris,Aux Bureaux du Journal du Palais,,1854,2,647,Année 1854 (tome 2),OUI,,,
